DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400224200,28.3344,-51.9093,506
20211400224200,30.4744,-52.6637,35
20211400224400,28.3433,-51.9888,43
20211400224400,28.3266,-51.9657,60
20211400224400,30.8425,-51.8669,760
20211400224400,28.3288,-51.9634,253
20211400224400,31.1056,-53.6101,15
20211400224400,28.3266,-51.983,14
20211400224400,28.3455,-51.9534,304
20211400225000,28.3175,-51.9855,7
20211400225000,30.4788,-52.618,80
20211400225000,28.4759,-51.9417,15
20211400225000,28.389,-51.9814,1686
20211400225000,28.3171,-51.9957,21
20211400225000,31.1283,-53.5801,340
20211400225000,28.3148,-51.8968,145
20211400225000,28.3178,-51.9845,6
20211400225000,28.347,-51.9713,183
20211400225200,28.3209,-51.9026,11
20211400225200,28.3221,-51.889,15
20211400225200,28.3491,-51.9401,100
20211400225200,28.341,-51.9785,7
20211400225200,28.3081,-51.9874,12
20211400225200,30.8528,-51.9213,23
20211400225200,28.3329,-51.8956,366
20211400225200,28.3183,-51.9909,57
20211400225400,28.303,-51.9674,69
20211400225400,28.3425,-51.9834,61
20211400225400,28.3246,-51.8918,40
20211400225400,28.3301,-51.974,131
20211400225400,28.3445,-51.9926,123
20211400225400,30.4795,-52.6812,14
20211400225400,31.1288,-53.6038,198
20211400225400,28.3461,-51.8896,177
20211400226000,28.3403,-51.9963,183
20211400226000,28.3374,-51.8896,27
20211400226000,28.3887,-51.9606,453
20211400226000,30.4863,-52.6316,479
20211400226000,28.3267,-51.9827,13
20211400226000,28.3489,-51.8828,30
20211400226200,30.8697,-51.8641,302
20211400226200,31.1256,-53.6,554
20211400226200,28.3684,-51.972,30
20211400226200,28.3176,-52.0104,13
20211400226200,28.3467,-51.9682,31
20211400226200,30.4842,-52.6711,28
20211400226200,28.338,-51.8888,344
20211400226200,28.3453,-51.9772,14
20211400226200,28.3905,-51.9494,21
20211400226400,28.3089,-51.9672,35
20211400226400,30.4928,-52.6832,19
20211400226400,28.3441,-51.978,34
20211400226400,30.5038,-52.6069,23
20211400226400,28.36,-51.8778,3
20211400226400,28.365,-51.9626,97
20211400226400,30.4992,-52.7181,8
20211400226400,30.8382,-51.9473,189
20211400226400,28.3417,-51.9463,140
20211400226400,30.4765,-52.6716,47
20211400226400,28.3395,-51.9921,94
20211400226400,28.3876,-51.9006,197
20211400227000,30.8478,-51.9564,90
20211400227000,28.3365,-51.896,340
20211400227000,30.5022,-52.6435,6
20211400227000,28.3406,-51.9787,10
20211400227000,28.3933,-51.9671,114
20211400227000,30.8624,-51.9256,215
20211400227000,30.4992,-52.7068,15
20211400227000,28.3168,-52.0004,44
20211400227000,28.3499,-51.9626,62
20211400227000,30.4878,-52.5935,81
20211400227000,30.5009,-52.6935,13
20211400227200,31.1343,-53.58,190
20211400227200,28.3398,-51.9788,50
20211400227200,28.3252,-51.9595,359
20211400227200,28.3983,-51.9172,133
20211400227200,28.3177,-51.9845,5
20211400227200,28.3383,-51.9736,30
20211400227400,28.2997,-51.9884,27
20211400227400,28.3812,-51.9375,192
20211400227400,28.3439,-51.8493,234
20211400227400,30.4737,-52.6576,166
20211400227400,28.317,-51.977,74
20211400227400,28.3178,-51.9852,11
20211400227400,28.3495,-51.9754,107
20211400227400,28.4043,-51.9523,997
20211400227400,28.348,-51.9763,23
20211400228000,30.4856,-52.6587,47
20211400228000,28.3431,-51.9687,206
20211400228000,28.3823,-51.913,428
20211400228000,28.3381,-51.9628,25
20211400228000,30.8421,-51.8919,849
20211400228000,28.3127,-51.9866,21
20211400228000,28.3562,-51.8685,88
20211400228000,30.4905,-52.6629,135
20211400228000,28.3003,-52.0019,155
20211400228000,28.3962,-51.9768,49
20211400228200,28.3508,-51.9699,40
20211400228200,30.5055,-52.6954,46
20211400228200,28.3931,-51.8958,72
20211400228200,28.3196,-51.978,33
20211400228200,28.3085,-51.9626,47
20211400228200,31.2069,-53.5954,3055
20211400228200,30.4901,-52.634,514
20211400228200,28.3582,-51.9683,42
20211400228200,28.3436,-51.9536,106
20211400228400,30.4909,-52.6665,104
20211400228400,28.3282,-52.002,14
20211400228400,30.8398,-51.9145,34
20211400228400,28.3083,-51.975,145
20211400228400,28.3969,-51.9153,427
20211400228400,28.3171,-51.9905,27
20211400228400,28.3879,-51.9162,24
20211400228400,30.4937,-52.644,72
20211400228400,28.3271,-51.9727,92
20211400228400,28.3236,-51.9732,67
20211400228400,35.552,-56.2017,4039
20211400229000,28.3271,-51.9713,25
20211400229000,28.3173,-51.9854,6
20211400229000,30.4962,-52.6626,131
20211400229000,28.329,-51.9252,49
20211400229000,28.352,-51.8205,129
20211400229000,30.8628,-51.9208,462
20211400229000,28.3294,-51.9682,76
20211400229000,30.4992,-52.6674,188
20211400229000,28.3189,-51.9576,216
20211400229000,28.3973,-51.9416,77
20211400229000,28.3216,-51.9744,47
20211400229000,28.3158,-52.0171,39
20211400229200,30.5045,-52.6591,420
20211400229200,30.8492,-51.9244,54
20211400229200,28.3837,-51.9491,21
20211400229200,28.3198,-51.9264,274
20211400229200,28.3187,-51.9719,120
20211400229200,30.504,-52.6192,9
20211400229200,28.323,-51.9837,24
20211400229200,30.5001,-52.6251,34
20211400229200,28.3627,-51.8972,335
20211400229200,28.3294,-51.9525,20
20211400229200,30.8581,-51.9277,8
20211400229400,30.4967,-52.6637,62
20211400229400,28.3359,-51.7793,67
20211400229400,28.3247,-51.9877,122
20211400229400,28.407,-51.8671,69
20211400229400,28.3264,-51.9688,30
20211400229400,28.3181,-51.9663,60
20211400229400,30.5024,-52.6441,33
20211400229400,31.1521,-53.5515,768
20211400229400,28.3377,-51.956,42
20211400229400,28.3245,-51.9739,23
20211400229400,28.3373,-51.9798,37
20211400229400,30.5173,-52.6652,41
20211400230000,28.3127,-51.9408,118
20211400230000,28.3177,-51.9992,16
20211400230000,28.3259,-51.929,816
20211400230000,30.4941,-52.6329,39
20211400230000,28.3774,-51.784,47
20211400230000,28.3171,-51.9714,108
20211400230000,30.8585,-51.9175,147
20211400230000,28.377,-51.8914,263
20211400230000,28.3093,-51.9985,50
20211400230000,28.3387,-51.9795,6
20211400230000,28.32,-51.9016,12
20211400230000,28.3268,-51.9599,58
20211400230000,30.5161,-52.6491,517
20211400230000,28.332,-51.9145,158
20211400230200,28.3201,-51.9386,8
20211400230200,28.3177,-51.9909,80
20211400230200,28.4026,-51.934,161
20211400230200,28.3519,-51.9651,38
20211400230200,30.5055,-52.6344,161
20211400230200,35.5587,-56.2173,474
20211400230200,28.3186,-51.9376,180
20211400230200,28.3266,-51.9899,30
20211400230200,28.3304,-51.8965,78
20211400230200,30.5066,-52.6615,145
20211400230200,28.3162,-51.9302,86
20211400230200,28.317,-51.9951,46
20211400230200,30.8614,-51.9168,212
20211400230400,30.5267,-52.6237,47
20211400230400,28.3892,-51.8362,15
20211400230400,28.3305,-51.9205,176
20211400230400,28.3312,-51.8834,397
20211400230400,28.3142,-51.9721,199
20211400230400,30.5099,-52.6471,238
20211400230400,28.3272,-51.9761,50
20211400230400,28.3203,-51.9376,20
20211400230400,28.3581,-51.9597,160
20211400231000,28.3822,-51.8874,28
20211400231000,30.5236,-52.6451,151
20211400231000,28.3257,-51.9652,22
20211400231000,30.8763,-51.8743,3370
20211400231000,28.4451,-51.8705,462
20211400231000,28.3587,-51.9542,35
20211400231000,28.3283,-51.9029,40
20211400231000,30.5123,-52.6472,57
20211400231000,28.3271,-51.9371,49
20211400231000,28.3256,-51.9826,16
20211400231000,28.3637,-51.9369,166
20211400231000,28.3381,-51.8838,8
20211400231000,28.4005,-51.8666,5
20211400231200,30.4971,-52.6801,170
20211400231200,28.3188,-51.9085,113
20211400231200,28.361,-51.9049,10
20211400231200,30.8578,-51.9274,8
20211400231200,28.3453,-51.9636,13
20211400231200,28.3201,-51.919,9
20211400231200,28.4143,-51.9112,262
20211400231200,28.3436,-51.9645,45
20211400231200,28.3356,-51.8573,147
20211400231200,30.5101,-52.6441,238
20211400231200,28.3307,-51.951,70
20211400231200,28.3606,-51.892,10
20211400231400,28.3277,-51.8874,41
20211400231400,28.3343,-51.9804,16
20211400231400,30.5089,-52.6521,400
20211400231400,28.3172,-51.9846,24
20211400231400,30.8583,-51.917,15
20211400231400,28.3604,-51.9584,30
20211400231400,28.4083,-51.9136,123
20211400231400,28.3437,-51.9775,23
20211400231400,30.5152,-52.639,62
